long,short,spec,is.save,is.series,requires
seats.difforiginal,dor,seats,TRUE,TRUE,
seats.diffseasonaladj,dsa,seats,TRUE,TRUE,
seats.difftrend,dtr,seats,TRUE,TRUE,
seats.filtersaconc,fac,seats,TRUE,TRUE,
seats.filtersasym,faf,seats,TRUE,TRUE,
seats.filtertrendconc,ftc,seats,TRUE,TRUE,
seats.filtertrendsym,ftf,seats,TRUE,TRUE,
seats.irregular,s13,seats,TRUE,TRUE,
seats.irregularoutlieradj,se3,seats,TRUE,TRUE,
seats.irregularpct,psi,seats,TRUE,TRUE,
seats.longtermtrend,ltt,seats,TRUE,TRUE,
seats.pseudoinnovsadj,pia,seats,TRUE,TRUE,
seats.pseudoinnovseasonal,pis,seats,TRUE,TRUE,
seats.pseudoinnovtransitory,pit,seats,TRUE,TRUE,
seats.pseudoinnovtrend,pic,seats,TRUE,TRUE,
seats.seasadjconst,sec,seats,TRUE,TRUE,
seats.seasonal,s10,seats,TRUE,TRUE,
seats.seasonaladj,s11,seats,TRUE,TRUE,
seats.seasonaladjfcstdecomp,afd,seats,TRUE,TRUE,
seats.seasonaladjoutlieradj,se2,seats,TRUE,TRUE,
seats.seasonaladjse,ase,seats,TRUE,TRUE,
seats.seasonalfcstdecomp,sfd,seats,TRUE,TRUE,
seats.seasonalpct,pss,seats,TRUE,TRUE,
seats.seasonalse,sse,seats,TRUE,TRUE,
seats.seasonalsum,ssm,seats,TRUE,TRUE,
seats.seriesfcstdecomp,ofd,seats,TRUE,TRUE,
seats.squaredgainsaconc,gac,seats,TRUE,TRUE,
seats.squaredgainsasym,gaf,seats,TRUE,TRUE,
seats.squaredgaintrendconc,gtc,seats,TRUE,TRUE,
seats.squaredgaintrendsym,gtf,seats,TRUE,TRUE,
seats.timeshiftsaconc,tac,seats,TRUE,TRUE,
seats.timeshifttrendconc,ttc,seats,TRUE,TRUE,
seats.totaladjustment,sta,seats,TRUE,TRUE,
seats.transitory,s14,seats,TRUE,TRUE,
seats.transitoryfcstdecomp,yfd,seats,TRUE,TRUE,
seats.transitorypct,psc,seats,TRUE,TRUE,
seats.transitoryse,cse,seats,TRUE,TRUE,
seats.trend,s12,seats,TRUE,TRUE,
seats.trendadjls,stl,seats,TRUE,TRUE,
seats.trendconst,stc,seats,TRUE,TRUE,
seats.trendfcstdecomp,tfd,seats,TRUE,TRUE,
seats.trendse,tse,seats,TRUE,TRUE,
seats.wkendfilter,wkf,seats,TRUE,TRUE,
series.adjoriginal,b1,series,TRUE,TRUE,
series.adjorigplot,b1p,series,FALSE,FALSE,
series.calendaradjorig,a18,series,TRUE,TRUE,
